item_purchased,discount_flag,discount_rate_percent
Pants,0.32211538461538464,32.21153846153847
Shoes,0.27932960893854747,27.932960893854748
Shirt,0.2751322751322751,27.513227513227513
T-shirt,0.2698412698412698,26.984126984126984
Jewelry,0.2596899224806202,25.968992248062015
Jacket,0.25925925925925924,25.925925925925924
Coat,0.25139664804469275,25.139664804469277
Scarf,0.23272727272727273,23.272727272727273
Blouse,0.23255813953488372,23.25581395348837
Dress,0.23030303030303031,23.03030303030303
Sneakers,0.23008849557522124,23.008849557522122
Hoodie,0.2265193370165746,22.65193370165746
Sweater,0.21818181818181817,21.818181818181817
Boots,0.21505376344086022,21.50537634408602
Belt,0.2119815668202765,21.19815668202765
Sandals,0.2081447963800905,20.81447963800905
Sunglasses,0.1976284584980237,19.76284584980237
Skirt,0.18716577540106952,18.71657754010695
